yob,year,annwage,weeks,veteran,lott1,lott2,lott3,lott4,lott5,lott6,lott7,lott8,lott9,lott10,lott11,lott12,lott13
51,79,4000,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,79,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,79,15100,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,79,18000,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,79,14500,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,79,10500,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,79,5850,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,79,6500,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,79,6500,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,79,20817,52,1,0,0,0,1,0,0,0,0,0,0,0,0,0
52,79,11000,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,79,5568,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,79,7280,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,79,21000,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,79,17300,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,79,10800,48,1,0,0,0,0,0,0,0,0,0,0,0,0,1
52,79,10400,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,79,20000,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,79,18000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,79,21201,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,79,20000,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,79,20332,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,79,13000,52,1,0,0,0,0,0,1,0,0,0,0,0,0,0
50,79,4268,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0
53,79,5719,30,1,0,0,0,1,0,0,0,0,0,0,0,0,0
52,79,2500,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,79,9500,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,79,5000,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,79,10000,26,1,0,0,0,0,0,1,0,0,0,0,0,0,0
53,79,4600,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,79,3825,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,79,10400,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,79,11729,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,79,9500,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,79,16800,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,79,5071,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,79,8500,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,79,8025,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,79,1400,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,79,16700,52,1,0,0,0,0,0,0,1,0,0,0,0,0,0
52,79,20000,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,79,11585,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,79,7000,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,79,14200,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,79,17680,52,1,0,0,0,0,0,0,0,0,1,0,0,0,0
53,79,25000,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,79,18800,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,79,8000,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,79,15500,52,1,0,0,0,0,0,0,0,0,1,0,0,0,0
50,79,11900,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,79,18823,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,79,16000,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,79,10990,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,8246,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,79,17000,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,79,9800,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,7449,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,79,24300,52,1,0,0,0,0,0,0,0,1,0,0,0,0,0
50,79,10500,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,79,9876,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,79,15900,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,79,17250,52,1,0,0,0,0,1,0,0,0,0,0,0,0,0
50,79,0,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,79,4583,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,79,20000,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,79,22532,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,79,16500,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,79,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,79,17000,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,79,8567,48,1,0,0,0,0,0,0,0,0,0,0,1,0,0
50,79,7000,52,1,0,0,0,0,0,0,1,0,0,0,0,0,0
50,79,11132,52,1,0,0,0,0,0,0,0,0,0,0,1,0,0
50,79,19000,52,1,0,0,0,0,0,0,0,0,0,0,0,1,0
51,79,13948,52,1,0,0,0,0,0,0,0,1,0,0,0,0,0
51,79,15600,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,79,650,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
50,79,5500,52,1,0,0,0,0,0,0,0,0,0,0,0,1,0
53,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,15650,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,79,20000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,23000,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,79,21000,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,79,17000,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,79,10000,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,79,4000,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,79,19853,52,1,0,1,0,0,0,0,0,0,0,0,0,0,0
50,79,100,44,1,0,0,0,0,0,0,0,0,0,1,0,0,0
53,79,0,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,79,17789,52,1,0,0,0,1,0,0,0,0,0,0,0,0,0
53,79,22500,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,8920,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,79,23983,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,79,21000,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,79,12000,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,79,15000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,1500,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,79,8500,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,20000,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,79,7800,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0
52,79,5971,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,79,13000,52,1,0,0,0,0,0,0,0,0,0,0,1,0,0
53,79,9685,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,79,8000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,79,12000,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,79,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
53,79,15500,52,1,0,0,0,0,0,0,0,0,1,0,0,0,0
50,79,12000,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,79,11000,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,79,0,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,79,3641,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0
52,79,5621,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,79,10000,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,79,0,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,79,13500,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,79,19536,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,79,7500,47,1,0,0,0,0,0,0,0,0,1,0,0,0,0
52,79,15000,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,79,6200,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,79,18795,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,79,14000,52,1,0,0,0,0,0,1,0,0,0,0,0,0,0
50,79,20600,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,79,15750,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,79,8325,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,79,9900,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,79,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,79,10300,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,79,14000,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50,79,14000,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,79,22000,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,79,17000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,79,9200,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,79,10400,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,79,12286,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,79,9000,52,1,0,0,0,0,0,0,0,0,0,0,0,0,1
52,79,9360,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,79,17000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,79,4588,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,79,12000,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,79,18000,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,79,18200,52,1,0,1,0,0,0,0,0,0,0,0,0,0,0
52,79,12000,48,1,0,1,0,0,0,0,0,0,0,0,0,0,0
53,79,9700,52,1,0,0,0,0,0,1,0,0,0,0,0,0,0
50,79,0,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,79,20000,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,79,28000,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,79,6000,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,79,14000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,15000,49,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,79,14200,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,79,10600,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,79,16906,52,1,0,1,0,0,0,0,0,0,0,0,0,0,0
50,79,9129,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,79,16200,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,79,10000,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,79,14000,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,79,20320,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,79,8000,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,79,10608,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,22007,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,79,22000,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,79,30000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,79,5000,40,1,0,0,1,0,0,0,0,0,0,0,0,0,0
52,79,12000,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,79,2000,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,79,11963,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0
53,79,12150,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,79,10200,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,79,13500,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,79,17095,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,79,12000,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,79,18500,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,79,14264,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,79,12500,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,79,1100,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,79,29900,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,79,6400,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,7000,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,79,8500,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,79,19000,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,79,10474,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,79,12534,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,79,18000,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,79,12000,52,1,0,0,0,0,0,0,1,0,0,0,0,0,0
53,79,13000,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,79,9000,52,1,0,0,0,0,0,0,0,0,0,0,0,1,0
50,79,12064,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,79,0,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,79,17500,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,79,19263,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,79,0,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,79,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,79,12620,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,79,9100,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,79,30000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,79,8000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,79,9672,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,79,18315,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,79,10818,52,1,0,0,0,0,1,0,0,0,0,0,0,0,0
53,79,10500,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,79,20000,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,79,16200,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,79,8400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,79,8000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,79,11200,52,1,0,1,0,0,0,0,0,0,0,0,0,0,0
50,79,8000,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,79,17000,48,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,79,7499,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,79,19200,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,79,16000,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,79,0,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,79,0,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,79,30000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,79,8840,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,79,9913,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,79,15979,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,79,11800,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,79,29640,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,79,4972,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,79,12000,52,1,0,0,0,0,0,0,0,1,0,0,0,0,0
51,79,1200,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,79,15000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,79,17000,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,79,14947,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,79,7903,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,79,1000,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,79,6000,52,1,0,0,0,0,0,0,1,0,0,0,0,0,0
51,79,3461,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,79,14441,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,79,8000,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,79,10400,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,79,14700,52,1,0,0,0,0,1,0,0,0,0,0,0,0,0
51,79,6240,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0
53,79,5584,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,79,4938,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,79,15000,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,79,14000,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,79,18000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,79,17574,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,79,15000,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,79,17300,52,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50,79,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,79,13500,52,1,0,0,0,1,0,0,0,0,0,0,0,0,0
53,79,22613,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,79,7700,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,79,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,10251,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,79,13139,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,4100,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,79,7700,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,79,0,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,79,12098,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,79,5800,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,6300,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,79,10000,52,1,0,1,0,0,0,0,0,0,0,0,0,0,0
52,79,13000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,79,0,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,79,11424,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,79,13500,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,79,13000,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,79,7500,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,79,17445,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,79,28000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,9000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,79,5000,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,79,13876,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,79,27000,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,79,2400,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,79,21630,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,79,22000,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,79,27000,52,1,0,0,0,0,0,0,1,0,0,0,0,0,0
52,79,10000,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,79,17000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,79,14183,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,79,9722,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,79,20444,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,79,7000,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,79,5000,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
